position,type,group
1,angle-down,utility
2,angle-left,utility
3,angle-right,utility
4,angle-up,utility
5,calendar,object
6,checkmark,utility
7,cog,utility
8,envelope,object
9,exclamation-circle,validation
10,exclamation-triangle,validation
11,fanatiguy,object
12,info-circle,validation
13,input-file,utility
14,input-time,utility
15,input-url,utility
16,kbd-arrow-down,utility
17,kbd-arrow-left,utility
18,kbd-arrow-right,utility
19,kbd-arrow-up,utility
20,kbd-capslock,utility
21,kbd-command,utility
22,kbd-delete,utility
23,kbd-eject,utility
24,kbd-option,utility
25,kbd-return,utility
26,kbd-shift,utility
27,kbd-space,utility
28,kbd-tab,utility
29,lock,utility
30,phone,object
31,plus-or-minus,utility
32,search,utility
33,support,object
34,times,utility
35,times-circle,utility
